model,predictor,alpha,coverage,size
ResNet152,Naive,0.01,0.9848,69.1875
ResNet152,Naive,0.01,0.9846,75.1544
ResNet152,Naive,0.01,0.9846,68.27195
ResNet152,Naive,0.01,0.9826,64.2796
ResNet152,Naive,0.01,0.985,68.99335
ResNet152,Naive,0.01,0.9849,68.3779
ResNet152,Naive,0.01,0.9853,69.911
ResNet152,Naive,0.01,0.98535,73.1095
ResNet152,Naive,0.01,0.98595,70.845
ResNet152,Naive,0.01,0.9844,69.0795
ResNet152,APS,0.01,0.98925,91.84415
ResNet152,APS,0.01,0.98795,91.77845
ResNet152,APS,0.01,0.98835,89.4021
ResNet152,APS,0.01,0.99,98.1422
ResNet152,APS,0.01,0.98815,88.1851
ResNet152,APS,0.01,0.9916,102.52325
ResNet152,APS,0.01,0.98865,92.53035
ResNet152,APS,0.01,0.9891,94.18615
ResNet152,APS,0.01,0.9899,98.05165
ResNet152,APS,0.01,0.98985,93.7355
ResNet152,RAPS,0.01,0.99135,43.041
ResNet152,RAPS,0.01,0.9919,45.0538
ResNet152,RAPS,0.01,0.9887,38.13035
ResNet152,RAPS,0.01,0.98975,40.2064
ResNet152,RAPS,0.01,0.98945,39.0297
ResNet152,RAPS,0.01,0.99105,41.03605
ResNet152,RAPS,0.01,0.99025,42.15535
ResNet152,RAPS,0.01,0.99025,40.03645
ResNet152,RAPS,0.01,0.9896,38.3124
ResNet152,RAPS,0.01,0.98965,39.1084
ResNet152,Naive,0.05,0.941,19.06975
ResNet152,Naive,0.05,0.94205,19.60545
ResNet152,Naive,0.05,0.94035,20.01425
ResNet152,Naive,0.05,0.9453,20.56655
ResNet152,Naive,0.05,0.9432,20.2674
ResNet152,Naive,0.05,0.9463,20.6165
ResNet152,Naive,0.05,0.94345,18.88025
ResNet152,Naive,0.05,0.9463,20.38495
ResNet152,Naive,0.05,0.942,19.82195
ResNet152,Naive,0.05,0.94255,19.75965
ResNet152,APS,0.05,0.95075,22.42605
ResNet152,APS,0.05,0.95035,23.7332
ResNet152,APS,0.05,0.95395,24.70945
ResNet152,APS,0.05,0.9512,23.7717
ResNet152,APS,0.05,0.95135,23.24015
ResNet152,APS,0.05,0.9525,23.0264
ResNet152,APS,0.05,0.94965,22.01305
ResNet152,APS,0.05,0.9531,25.34015
ResNet152,APS,0.05,0.94955,22.38505
ResNet152,APS,0.05,0.94875,22.7926
ResNet152,RAPS,0.05,0.94825,5.3755
ResNet152,RAPS,0.05,0.9504,5.3874
ResNet152,RAPS,0.05,0.954,6.16415
ResNet152,RAPS,0.05,0.94965,5.4036
ResNet152,RAPS,0.05,0.95205,5.43875
ResNet152,RAPS,0.05,0.94995,5.531
ResNet152,RAPS,0.05,0.95255,6.15395
ResNet152,RAPS,0.05,0.9486,5.38925
ResNet152,RAPS,0.05,0.948,5.2798
ResNet152,RAPS,0.05,0.9476,5.30935
ResNet152,Naive,0.1,0.9027,11.2549
ResNet152,Naive,0.1,0.8918,9.29535
ResNet152,Naive,0.1,0.89685,10.53915
ResNet152,Naive,0.1,0.8939,9.63615
ResNet152,Naive,0.1,0.8898,9.24225
ResNet152,Naive,0.1,0.8957,9.8382
ResNet152,Naive,0.1,0.8955,9.75755
ResNet152,Naive,0.1,0.8992,10.6149
ResNet152,Naive,0.1,0.8961,10.1891
ResNet152,Naive,0.1,0.8915,9.39095
ResNet152,APS,0.1,0.89985,10.5305
ResNet152,APS,0.1,0.9033,10.6455
ResNet152,APS,0.1,0.89995,11.4116
ResNet152,APS,0.1,0.9004,10.0748
ResNet152,APS,0.1,0.90465,10.6434
ResNet152,APS,0.1,0.90225,10.5109
ResNet152,APS,0.1,0.89355,9.8713
ResNet152,APS,0.1,0.8996,10.0887
ResNet152,APS,0.1,0.90105,10.57365
ResNet152,APS,0.1,0.8928,9.7915
ResNet152,RAPS,0.1,0.90035,2.49875
ResNet152,RAPS,0.1,0.90155,2.4936
ResNet152,RAPS,0.1,0.8996,2.47545
ResNet152,RAPS,0.1,0.89875,2.5216
ResNet152,RAPS,0.1,0.90115,2.4986
ResNet152,RAPS,0.1,0.90415,2.5265
ResNet152,RAPS,0.1,0.90165,2.5191
ResNet152,RAPS,0.1,0.89835,2.4879
ResNet152,RAPS,0.1,0.90005,2.50045
ResNet152,RAPS,0.1,0.89995,2.5044
